backbone,losses,mean_score_diff,method,method_label,n,opponent,opponent_label,ties,win_rate_with_tie_half,wins
qwen3-8b,256,-0.009469793349504471,ai_researcher_style,AI Researcher,500,researchagent_style,ResearchAgent,0,0.488,244
qwen3-8b,214,0.17627068604528903,ai_researcher_style,AI Researcher,500,virsci_full_reproduction,VirSci,0,0.572,286
qwen3-8b,247,0.01364084279537201,ai_scientist_idea_module,AI Scientist,500,ai_researcher_style,AI Researcher,0,0.506,253
qwen3-8b,423,-0.8608765453398227,ai_scientist_idea_module,AI Scientist,500,prism,PRISM,0,0.154,77
qwen3-8b,258,0.004171049445867539,ai_scientist_idea_module,AI Scientist,500,researchagent_style,ResearchAgent,0,0.484,242
qwen3-8b,221,0.18991152884066104,ai_scientist_idea_module,AI Scientist,500,virsci_full_reproduction,VirSci,0,0.558,279
qwen3-8b,84,0.8745173881351948,prism,PRISM,500,ai_researcher_style,AI Researcher,0,0.832,416
qwen3-8b,77,0.8608765453398227,prism,PRISM,500,ai_scientist_idea_module,AI Scientist,0,0.846,423
qwen3-8b,82,0.8650475947856903,prism,PRISM,500,researchagent_style,ResearchAgent,0,0.836,418
qwen3-8b,70,1.0507880741804838,prism,PRISM,500,virsci_full_reproduction,VirSci,0,0.86,430
qwen3-8b,244,0.009469793349504471,researchagent_style,ResearchAgent,500,ai_researcher_style,AI Researcher,0,0.512,256
qwen3-8b,242,-0.004171049445867539,researchagent_style,ResearchAgent,500,ai_scientist_idea_module,AI Scientist,0,0.516,258
qwen3-8b,418,-0.8650475947856903,researchagent_style,ResearchAgent,500,prism,PRISM,0,0.164,82
qwen3-8b,233,0.18574047939479352,researchagent_style,ResearchAgent,500,virsci_full_reproduction,VirSci,0,0.534,267
qwen3-8b,286,-0.17627068604528903,virsci_full_reproduction,VirSci,500,ai_researcher_style,AI Researcher,0,0.428,214
qwen3-8b,279,-0.18991152884066104,virsci_full_reproduction,VirSci,500,ai_scientist_idea_module,AI Scientist,0,0.442,221
qwen3-8b,430,-1.0507880741804838,virsci_full_reproduction,VirSci,500,prism,PRISM,0,0.14,70
qwen3-8b,267,-0.18574047939479352,virsci_full_reproduction,VirSci,500,researchagent_style,ResearchAgent,0,0.466,233
